Hour=99, Sec=0, ControlIter=1, Element=Regulator.reg3, Action= CHANGED -1 TAPS TO 0.99375.
Hour=100, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED -1 TAPS TO 0.99375.
Hour=101, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED -1 TAPS TO 0.99375.
Hour=108, Sec=0, ControlIter=1, Element=Regulator.reg3, Action= CHANGED -1 TAPS TO 0.9875.
Hour=109, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED -1 TAPS TO 0.9875.
Hour=123, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED 1 TAPS TO 0.99375.
Hour=129, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED -1 TAPS TO 0.9875.
Hour=129, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED -1 TAPS TO 0.9875.
Hour=131, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED -1 TAPS TO 0.98125.
Hour=131, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED -1 TAPS TO 0.98125.
Hour=132, Sec=0, ControlIter=1, Element=Regulator.reg3, Action= CHANGED -1 TAPS TO 0.98125.
Hour=136, Sec=0, ControlIter=1, Element=Regulator.reg3, Action= CHANGED -1 TAPS TO 0.975.
Hour=136, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED -2 TAPS TO 0.96875.
Hour=136, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED -2 TAPS TO 0.96875.
Hour=137, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED 1 TAPS TO 0.975.
Hour=137, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED 1 TAPS TO 0.975.
Hour=138, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED -1 TAPS TO 0.96875.
Hour=138, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED -1 TAPS TO 0.96875.
Hour=139, Sec=0, ControlIter=1, Element=Regulator.reg3, Action= CHANGED -1 TAPS TO 0.96875.
Hour=139, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED -1 TAPS TO 0.9625.
Hour=139, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED -1 TAPS TO 0.9625.
Hour=146, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED -1 TAPS TO 0.95625.
Hour=150, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED 1 TAPS TO 0.9625.
Hour=154, Sec=0, ControlIter=1, Element=Regulator.reg3, Action= CHANGED 1 TAPS TO 0.975.
Hour=154, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED 1 TAPS TO 0.96875.
Hour=154, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED 1 TAPS TO 0.96875.
Hour=157, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED 1 TAPS TO 0.975.
Hour=157, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED 1 TAPS TO 0.975.
Hour=158, Sec=0, ControlIter=1, Element=Regulator.reg3, Action= CHANGED 2 TAPS TO 0.9875.
Hour=158, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED 3 TAPS TO 0.99375.
Hour=158, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED 3 TAPS TO 0.99375.
Hour=158, Sec=0, ControlIter=2, Element=Regulator.reg3, Action= CHANGED 1 TAPS TO 0.99375.
Hour=158, Sec=0, ControlIter=2, Element=Regulator.reg2, Action= CHANGED 1 TAPS TO 1.
Hour=158, Sec=0, ControlIter=2, Element=Regulator.reg1, Action= CHANGED 1 TAPS TO 1.
Hour=160, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED -1 TAPS TO 0.99375.
Hour=160, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED -1 TAPS TO 0.99375.
Hour=165, Sec=0, ControlIter=1, Element=Regulator.reg3, Action= CHANGED 1 TAPS TO 1.
Hour=165, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED 1 TAPS TO 1.
Hour=165, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED 1 TAPS TO 1.
Hour=166, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED 1 TAPS TO 1.00625.
Hour=167, Sec=0, ControlIter=1, Element=Regulator.reg3, Action= CHANGED 1 TAPS TO 1.00625.
Hour=167, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED 1 TAPS TO 1.00625.
Hour=167, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED 1 TAPS TO 1.0125.
Hour=168, Sec=0, ControlIter=1, Element=Regulator.reg3, Action= CHANGED 1 TAPS TO 1.0125.
Hour=168, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED 1 TAPS TO 1.0125.
Hour=169, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED 1 TAPS TO 1.01875.
Hour=170, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED 1 TAPS TO 1.01875.
Hour=172, Sec=0, ControlIter=1, Element=Regulator.reg3, Action= CHANGED 1 TAPS TO 1.01875.
Hour=172, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED 1 TAPS TO 1.025.
Hour=174, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED 1 TAPS TO 1.025.
Hour=185, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED -1 TAPS TO 1.01875.
Hour=186, Sec=0, ControlIter=1, Element=Regulator.reg3, Action= CHANGED -1 TAPS TO 1.0125.
Hour=186, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED -1 TAPS TO 1.01875.
Hour=188, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED -1 TAPS TO 1.0125.
Hour=188, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED -1 TAPS TO 1.0125.
Hour=189, Sec=0, ControlIter=1, Element=Regulator.reg3, Action= CHANGED -1 TAPS TO 1.00625.
Hour=190, Sec=0, ControlIter=1, Element=Regulator.reg2, Action= CHANGED -1 TAPS TO 1.00625.
Hour=191, Sec=0, ControlIter=1, Element=Regulator.reg1, Action= CHANGED -1 TAPS TO 1.00625.
Hour=192, Sec=0, ControlIter=1, Element=Regulator.reg3, Action= CHANGED -1 TAPS TO 1.
